Hour,Capacity Calculation [MWh],Capacity Allocation [MWh],Total volume risk [MWh],λ OBZ [€/MWh],λ zone 1 [€/MWh],λ zone 2 [€/MWh],λ zone 3 [€/MWh],Curtailment OWF 119 (z1) [MWh],Curtailment OWF 124 (z2) [MWh],Curtailment OWF 120 (z3) [MWh]
x190,54.87767899851451,2003.4646310683083,2058.342310066823,-1e-08,48.53,0.1848228908911671,-1e-08,983.0023105668228,0.0,1075.3399995
x191,10.837681998514654,2162.0277319416837,2172.8654139401983,-1e-08,48.53,-1e-08,-1e-08,1051.91738204442,60.28803139577815,1060.6600005
x192,5.692678998514111,2170.770350397264,2176.463029395778,-1e-08,48.19,-1e-08,-1e-08,1058.9449995,58.57303039577812,1058.9449995
x193,146.3626789985151,2170.770350397263,2317.133029395778,-1e-08,48.19,-1e-08,-1e-08,1105.8349995,105.463030395778,1105.8349995
x194,0.0,2344.370854444186,2344.370854444186,-1e-08,47.42,-1e-08,-1e-08,1163.295,17.780854444185707,1163.295
x195,419.4226789985146,3153.890350397264,3573.3130293957784,-1e-08,37.28,-1e-08,-1e-08,1196.8549995,1179.6030303957782,1196.8549995
x196,139.17482392891998,3178.9009568574957,3318.0757807864156,-1e-08,37.28,-1e-08,-1e-08,1243.905,830.2657807864155,1243.905
x197,660.7726819985146,1893.8373190014854,2554.610001,-1e-08,47.42,-1e-08,-1e-08,1277.3050005,0.0,1277.3050005
x198,124.34268049851426,2170.770350397264,2295.113030895778,-1e-08,48.19,-1e-08,-1e-08,1098.495,98.12303089577824,1098.495
x199,0.0,2057.6132702564096,2057.6132702564096,-1e-08,65.64,-1e-08,-1e-08,1019.4649995,18.6832712564094,1019.4649995
x200,0.0,2043.9230308957779,2043.9230308957779,-1e-08,66.57,-1e-08,-1e-08,1014.765,14.393030895777995,1014.765
x201,0.0,2018.229999,2018.229999,-1e-08,76.86,0.2927155919249316,-1e-08,1009.1149995,0.0,1009.1149995
x202,0.0,2015.13,2015.13,-1e-08,66.57,-1e-08,-1e-08,1007.565,0.0,1007.565
x203,0.0,2150.6480323957785,2150.6480323957785,-1e-08,76.86,-1e-08,-1e-08,1050.3400005,49.96803139577821,1050.3400005
x204,428.0926804985138,2170.7703503972643,2598.863030895778,-1e-08,76.86,-1e-08,-1e-08,1199.745,199.37303089577824,1199.745
x205,591.1726804985146,2170.7703503972634,2761.943030895778,-1e-08,76.86,-1e-08,-1e-08,1254.105,253.7330308957781,1254.105
x206,569.1226804985149,2170.7703503972634,2739.8930308957783,-1e-08,76.86,-1e-08,-1e-08,1246.755,246.383030895778,1246.755
x207,529.5226804985145,2170.770350397264,2700.2930308957784,-1e-08,76.86,-1e-08,-1e-08,1233.555,233.1830308957782,1233.555
x208,472.2226819985144,2170.770350397264,2642.9930323957783,-1e-08,76.86,0.2927155919249216,-1e-08,1214.4550005,214.0830313957781,1214.4550005
x209,443.72267899851477,1966.1873200014852,2409.909999,-1e-08,76.86,0.2927155919249316,-1e-08,1204.9549995,0.0,1204.9549995
x210,388.8226789985147,1975.517134492453,2364.3398134909676,-1e-08,76.86,0.2927155919249216,-1e-08,1177.6848139909675,0.0,1186.6549995
x211,339.83268199851454,1994.9996417850061,2334.8323237835207,-1e-08,76.86,0.2927155919249316,-1e-08,1164.5073232835207,0.0,1170.3250005
x212,408.412681998514,2170.770350397264,2579.183032395778,-1e-08,76.86,0.2927155919249216,-1e-08,1193.1850005,192.813031395778,1193.1850005
x213,420.96768199851476,2170.7703503972634,2591.738032395778,-1e-08,66.57,-1e-08,-1e-08,1197.3700005,196.99803139577816,1197.3700005
x214,452.6026819985141,2170.770350397264,2623.373032395778,-1e-08,66.57,-1e-08,-1e-08,1207.9150005,207.54303139577803,1207.9150005
x215,595.5376804985144,1915.5823195014855,2511.12,-1e-08,48.53,-1e-08,-1e-08,1255.56,0.0,1255.56
x216,589.166409279198,2170.770350397267,2759.936759676465,-1e-08,48.19,-1e-08,-1e-08,1263.5449995,232.84676067646524,1263.5449995
x217,385.079579934124,2309.964805825558,2695.044385759682,-1e-08,48.19,-1e-08,-1e-08,1269.225,156.59438575968193,1269.225
x218,321.67683884358166,2366.9775469161004,2688.654385759682,-1e-08,47.42,-1e-08,-1e-08,1267.095,154.46438575968205,1267.095
x219,310.6218373435818,2366.9775469161,2677.5993842596818,-1e-08,47.42,-1e-08,-1e-08,1263.4099995,150.77938525968193,1263.4099995
x220,305.9507666628401,2348.623620596842,2654.574387259682,-1e-08,47.42,-1e-08,-1e-08,1255.7350005,143.1043862596821,1255.7350005
x221,382.2159582781974,2263.9134274814846,2646.129385759682,-1e-08,48.19,-1e-08,-1e-08,1252.92,140.2893857596821,1252.92
x222,556.1723611754055,2170.770350397267,2726.9427115726726,-1e-08,48.19,-1e-08,-1e-08,1257.8350005,211.27271057267265,1257.8350005
x223,647.9776789985149,1898.1023200014852,2546.079999,-1e-08,66.57,-1e-08,-1e-08,1273.0399995,0.0,1273.0399995
x224,654.3676789985138,1895.972320001486,2550.339999,-1e-08,76.86,0.2927155919249316,-1e-08,1275.1699995,0.0,1275.1699995
x225,0.0,2099.25,2099.25,-1e-08,78.52,8.85,-1e-08,1049.625,0.0,1049.625
x226,0.0,1597.4600010000001,1597.4600010000001,-1e-08,76.86,8.85,-1e-08,798.7300005000001,0.0,798.7300005000001
x227,0.0,1575.7700009999999,1575.7700009999999,-1e-08,76.86,8.85,-1e-08,787.8850004999999,0.0,787.8850004999999
x228,0.0,1864.760001,1864.760001,-1e-08,76.86,0.2927155919249216,-1e-08,932.3800005,0.0,932.3800005
x229,339.8626789985151,2170.7703503972634,2510.6330293957785,-1e-08,76.86,-1e-08,-1e-08,1170.3349995,169.96303039577822,1170.3349995
x230,655.3726819985145,1895.6373190014856,2551.010001,-1e-08,76.86,-1e-08,-1e-08,1275.5050005,0.0,1275.5050005
x231,655.5226804985141,1895.5873195014856,2551.1099999999997,-1e-08,76.86,-1e-08,-1e-08,1275.5549999999998,0.0,1275.5549999999998
x232,645.4726819985144,1898.9373190014858,2544.410001,-1e-08,76.86,0.2927155919249316,-1e-08,1272.2050005,0.0,1272.2050005
x233,643.5526804985147,1899.5773195014854,2543.13,-1e-08,76.86,8.85,-1e-08,1271.565,0.0,1271.565
x234,633.6826819985149,1902.8673190014852,2536.550001,-1e-08,78.52,8.85,-1e-08,1268.2750005,0.0,1268.2750005
x235,626.107678998515,1182.7512008984281,1808.858879896943,-1e-08,78.52,8.85,-1e-08,277.730850001165,265.3780303957782,1265.7499995
x236,612.187680498514,1910.0323195014857,2522.22,-1e-08,78.52,8.85,-1e-08,1261.11,0.0,1261.11
x237,587.212680498515,1918.357319501485,2505.57,-1e-08,76.86,8.85,-1e-08,1252.785,0.0,1252.785
